Serial Number,Project Name,Promoter Name,Last Modified Date,View URL
13,Prakash Cotton Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Bq6913QzBXXEaNSw3gk2xHDqHLoHS1h3t%2fZgPTPLF8uWKWa00EIvr6VksGAR2y%2bipzXHazqGRpwU0nvweSKOzWoxwWj2ASO067fXn%2fVZ9l39ZM%2fwX4DknOoLdiaJc6WeFGAHa4PUg3TD%2fmg%2flhVE8wgHc%2fKmBqloqaxSopt7jF7TujwoMXyCZw%3d%3d
14,Bombay Dyeing Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Sp19ri6Fb6rgISIvdDYMD13A1snpHnrmv028kJS%2fe4MgAEXMDIvfSOqp0GT5W5JP85YDt9KYSAGtkaUVbFIeP1Oxx8eOrGVTIpKmDoyS4MGPr415RsBIV%2bl9glz4KFC%2bmml%2fs%2fsKh0c7YlxlL3WfAhaQfDq8wZF9UwhZHSl5nKdwQ0BkbwS6nA%3d%3d
15,Century Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=IkMxLQsJMYGbdfIFQgpMwtUDCKHJq8pF7W7fHOERqWdH8ZxUNbfEu0Gy%2bGWJlBrrpaQ4Wif1gbw0qQ10cvbrrcPdDpA%2fXnHsyoEja956OyIeKkrPcdygZ%2bWU8m2dGztfWLBDXJyNFx0SNcHzLZ54Uw%2b4mjvfC6L1wL5tnCbbN%2f6R0FkT6%2fHvng%3d%3d
16,Pratiksha Nagar Sion Phase V,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Rlx9wS2%2bR5nu3R0SLqiXMTjRr4ytOGwyAyqv7LYYv%2fhF55aM%2bxf8oRQMl6FgEqzU8XVldBC4TzsFJeLyGkXvpYZx5mLfS8cPB30qlBlgauvGx9yQ3Tjg27K7JD0MQmIzlRYaURcHb06D7OEAnYmX2SmfQ4P%2f1bqqh2AyoJRQ81%2f2Tc1JlTmv%2bA%3d%3d
17,Pratiksha Nagar Phase IV,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=w5AYl563sBeJltesK2hBdVRwtYkMiYLfP7c1qCMTgVl1HF8PiEsW43cJSyzXfaQI0qx8xQxDFk8h5SVaFH%2bVJ6TlkBaqQ2vlIbVYQBhGQjj0t%2b%2bR8ZsXrdYo8zhiGuQhTE5b1vgzB6vUAi4tT4YusXwIpx8sfxDV3IZYNbWG3y66xpfcTN0bew%3d%3d
18,Western India Mill,MHADA,12/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=hmJZe0J9fLjhr18F0%2fmewu3W7q3Zf9sP%2bjEBbCvKit2CU7ZfH4T6itZoCn2mMb0T0sRoqNympeuxrJlzeEMNMMXRaFxknkU3HBKWuPfYhOAE5H%2fXXEeakU0O2DCedaFC%2f9wECIPuYPWsd9x3EVRqAKiRBFQqpQcTplNjfOTx6o8vbYqIyx5g7A%3d%3d
19,219 Boat Club,MERINT DEVELOPERS PVT LTD,02/01/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=yLPJ1JY7A7ZWc%2b0%2fy0faM46CVKAPsxYbMvX4zrDmEo0NggWimggSVvGhWC59C%2feOtrtTicDExS9lgv3EyUgY5ND3u5XQWjwfugdeCmXGd%2ftlQOlnNxuOL9Zq%2beVJNnhu64Cg%2f1%2bPUpQPIlDTwae%2bx54nXyTHmy4t1m3r8blNxE0K8xD7hwvbYw%3d%3d
20,Palais Royale,Shree Ram Urban Infrastructure Limited,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=zfSaxhgfRL9Pof8PeMXS0hLiqJ0bUWQ7So%2fxhnS7%2fxbgQZhqgLMZCJrXi02ONfVNMi1UhmaxtXpAdG8uxLS1MUpEy%2bDsgEKqLWpMW3U4NaYJ8eoDPXjMGezCWaO7QmlmPL40TstA3xkCyEnaZ8mIWobM%2bfP%2fKSjeJZojW9ZHtTx3KQ%2bnRV6ZmA%3d%3d
21,Kalpataru Avana,Kalpataru Limited,24/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=v0IDPeY3NPVvUDAgF7hxm0G8Xb3NJOb%2fiLbqdzofw1%2b7gie%2bq7yFrX5Xefs8o5dfMwep2y%2fhUtuRv1bkYCItMJROodlgA2uG5mQIxI1a6PadvOB4bXvUwDYnDqQlRa12vPq1LXyhrexoN2xzrGf%2b9cI1jUtkNReCHzblZNdWl2NTd4DLAmq1Tw%3d%3d
22,PARK VISION,VVA VISION REALTORS LLP,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=hc3CqmpwWQ8d5AZ8SCLLKSifJwsvnI3niaHM0vBqT2jbMbZGzQXo8O6ub0znEa5WGyuhEBCtmCS%2byKYjMi%2fLWtcFW70TdA0PiUsA1AM00400AG5yG5dTYENuBYQmfaqrUKOi5wiH53IlruXlTV2sZZ2UFTrTLsZC%2be5HUi3DT6F4EOI%2fMa%2buXg%3d%3d
23,Om Sat,Shree Siddhi Developers,11/02/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Wub155oC1WqN6p5w3yoAz%2b2U%2f2a8%2fTgOCUSLhgYBrfj6fj7szVnmdwwTpnIA48Se55Q6Ho8eO6F5g0XY0INL8wX9bUpHorZHV232ZD3RttU6DUiZX7vw2JSi6PjvEaizcECxofYURNAdbUL0o4MNMWFPJe0XucBvsoozP07vPvWxRhhwqX4L3Q%3d%3d
24,KANAKIA MIAMI,KANAKIA SPACES REALTY PRIVATE LIMITED,24/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=T5Ge8lp0hesNH%2fy8sW45nocev1%2bIrbmHWWkHvU9CqptF8dbOyqUoBHCGHOhBYCGldFwPWd00UNpprFctrsQao34CRkV5cnN0hbs%2bz9cPcQViqiL2IE69iiTXxeCgApp%2f4VvrczPWhwSBByl7lfz%2b%2fobWFOxdMQ%2bdkyRc5QiJQ9o0oGntUv9hQg%3d%3d
25,Prem Girja,premdevelopers,09/12/2019,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=RJ86T0M8frOdQPJEZmW2fVWx97VzhwAMXm3HtMdTLKMNvLtNE%2bdWKsHqHz5I1JVcu0bx7eebymhzEU6W5QRaCApOv6FeMHQJcrWMvoMf1vq0QEVafCYFvomDL%2bSLHtkk3TdTpsutIymG6AGjdYPg9ULwlvdzp38%2bA%2bYFvyj5h9Xjb9PY7aiR8A%3d%3d
26,Anand Height Wing B & C,Akbar Mohamadali Kazi,07/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=PW5Ae5acI52sEhsDB70icaNL6vf1MM4mLK0w%2bIIM68ZQD5z1THp%2fm25j51oiwVtz0dxGsWmiJVu%2fzjAFEdfOgWjFtdikQFH8f78XG6GBolc0yrdBPRuI3bSNkgG542uD7XGOADeFLWvtDwC7lEkiNmm4pnMgzNhCg5kVHDvJJ7j9xmVHvkgffQ%3d%3d
27,Preksha,Sugee Six Developers LLP,16/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=r7txt9n5Zh9AY%2b0iNLs8VSV7QU8LsK%2bn0P0JQFUPYhETv%2baMZtyXl0vr2eytPGnYHW5s9oL1UK0cnhCiwB8172UjY005FrdopH3ju80KavTtUOZzGR4ItdSxg3GNn8MotQKv0xSFqCdmJRN6RT6BZLonIIVlCoigpzbxfVf%2bMb3R2LB5A8e2%2bA%3d%3d
28,MODY KUNJ,MEHTA ENTERPRISES,17/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=huPs0%2bUxmOSxS6Wjw32wjfZhh7JQjLI%2fP05Cs%2bFnbOi1aIG3UOyNUM5wLRP01s0odl7jF10IPCpsURjwD0iMDrU9LgqqbtKM%2b1G7W5FilNocoa2%2ffiSEyX%2fLv5DTzXFnyQLupGWRV%2bAQbonghrrvbnchP%2bxplI%2fUwzvQcy1gVjvv9bYt%2bcbaZg%3d%3d
29,Sanskruti,Sugee Three Developers LLP,12/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=lQoe429XV8WseTx3kFu0S845%2bstZm2J2FtXfstOP0a%2bp8eNkSWeyNS43UR55wxkuKK7QAExZWG0a8beiUVTCT0xTbUQ%2fAZpirWOEt1GRu%2fjpyUiTg7g3%2bW3WClUEUdjWHUvy0AHoUS8gkBoHOYrzexbMTATesCSch8ZWUcTCNc51%2foxAr%2f8FcQ%3d%3d
30,BUILDING 2 - PHASE OF PROJECT NAMED VIVAREA CONSTRUCTED ON PORTION OF THE PROJECT LAND,GENEXT HARDWARE & PARKS PRIVATE LIMITED,30/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=RioXZefy4rSDEwuZuvUG1Yk0WKa99ua1Z0L2IoxORBck7AKHbEbqQ0inW9dKDZf5JV1GT6blq5235rkuRW2lKqrY0sQNEIxAYIdyj8PfFoFv8S4Z5PRGkRMKTJ9%2bkaa%2bxXMpZdkOzgbw03RKj74wOBCoiN041WLs8bwBK%2bM8MmP0jOWIOHBUjQ%3d%3d
31,ASTERIA HEIGHTS,SONA DEVELOPERS,22/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=i5nNCdUVnOLjIDjVRLHLPlBOgkSWEsrobHKJ9advMG7OSvdz3%2f829REuW0a%2fF3IoVhMKXkl3Q%2bdyJB1aI3u4uA71osQcSu%2fhx99QIukkBfRkMosASk%2fZoL3qVcEq5J4ZrDJXyHpFbQgf%2fo%2fMcD4stVJl%2f782fojGqnsI20qxuxGsY0BIXlHKBQ%3d%3d
32,Govind Sadan,Sugee Developers Pvt Ltd,13/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=wrOHsWUnPiej5RuSFrZT%2fdFFYHlClqRCU7e5BY%2bsmbDAgoBB4R4YFo3b0gLGpI5ZONchscDo6pG8INiq3dW%2bIerVNdNNuCeFm6%2bcs6Ab7KPTkfr%2fSD9ACQBahEVjW%2fRnIN%2fSHNRD8Z0oyIf5V%2ba6de%2fn5J%2bpPOMlVRW95w3UYcdrliciWpi3Yg%3d%3d
33,Excalibur by Nahar,NAHAR EXCALIBUR PROJECT PRIVATE LIMITED,13/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=%2fGNV3PeUufljVUo%2f3Pth%2bC1aMQUQzMIAkx%2bovnW2t9ybYz9nqpDjAWLlunfZDc5gCtPIsEPyep091Gub3hQ71477dDzzf4DytnXKpJh0h8VnsfI6FBUSoYZy1mteZYuLe0xBlojEM5e8BP7J%2fNomFvrjL0WO2bc2%2fnEFZVEPWw9UlV4uP6I4jA%3d%3d
34,RAJKAMAL PARK,PRARTHANA GRIHA NIRMAN,24/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Cjj6pxwh860qnbg0NNkG8w3hEPmtImNTf18JpSF0IiS5gOxwqjZuGcCn6EoSvmyE8yFcoI06%2fEaO8Ll9ExulJaKgjK2YjWKbeIaDUcq%2flQkEYPjkzld3oe9eqqqVhtvC%2b%2bZM4OjCh8MHRH7iFDTwB3CzasZqw7aVYdihg15OX3SHiT5docdlqg%3d%3d
35,LODHA AZZURO,Macrotech Developers Limited,27/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=oFodQMlpKwOBEQVlGG0PmfKTR6MiVenyKx3OstyjqQH7Gk%2f3rOpYCRNXL0VmJ9Sg0YY4OBBu4%2fEV%2fLzPaU4Zw3VEuQi1affdkDNWiQ7ztxewTyosS%2fS%2b8JY%2fKcdhwnIuOgcQJdslx0LuNrohjk4JaCfyDD%2fxHFvFTKpamj%2fpqjy3P4PWuIqH3w%3d%3d
36,PARK PALLAZZO,NANDIVARDHAN CONSTRUCTIONS PRIVATE LIMITED,05/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=yIzdtjZXunmaahRnOeTxxG1iT%2f9%2fzSd2pC1layqzEkUw7LKrB0u9wibJHu%2bPiuFhiFQGB0z4UBMaHHsloXQEogsML%2fAqtFK9gABtSHqKbYaPP%2bMVM3V5re1eSYuAaRjz5I4S4bwNJuWpOv3532%2bxrWJORrqdUFSQDr9pF8X2Gv7CH55%2bfxqG2Q%3d%3d
37,DEEKAY ARIA,DEEKAY DEVELOPER,11/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=nejArJTNgWJdiz0XCyNHnoWo01gdcE%2f73p9RP%2fN68Jz%2bfrSWFTFp2tow72D9ZRyh0NatumOtrOftq6zcUNlP5FQXJ1PP8dPcbJhP7f12DodbVkn7vYqmxgPLLmvBkA4P9ImyWdIZOXwfN1L04xkl4fwrZIIgyZbmhcxgyMAr8hXP1zlYcv7VLg%3d%3d
38,Raheja Imperia - I,Raheja Universal (Pvt.) Ltd.,06/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=%2f1b8j2XUlpJUq5HIVHWEkgOhGIn3yWfA2ad0vEgmdzqc6Nt3vVGsb3N6fFot6%2b5GxUSqV6gwebX2JjHI3rwkYkMnSUvJE3dYjSvU3QWjAsmHbNKPxRNGI9b1f2FMpI3viq2UpXFaGs1SGGY9UOlBkAfgVufgGAfGq9btx3vgphWkrOepGi%2bw7A%3d%3d
39,DILKAP VICTOR,GORKAP PROPERTIES & INVESTMENTS PVT. LTD,16/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=cWTI6drLMGtOpSB4Rd4lIt%2bwJx2f146orLrJfYsVEZ9SRyx1LVmXXS7E7cb71hdtYsCyXE4GhMfltMclZVo%2f1lgviqvT3h9Zd3B8aX88P3evfeZmuk4yhuNJ4dAqso9iTc9MbMCYIXCV5mMQsL44diDjrtOaQK0FU%2bX6ObeblQyy%2fTYfvUpRVg%3d%3d
40,DILKAP GRANDEUR,DILIP ESTATE & TOWN PLANNERS PVT LTD,10/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=bp83ThWGUqlngBQWNyRIiBYZNiPDaTwG26Y%2fcUh7DO1bZvVHhWD2ovugdBtZw7Hy6AEaEy8B3TvHCrDlzJ1THqC8Fublvlf2iCiDJzzTo7rlvFzD1Q5qLo7W5Vx7x5y421bYXbbYK62KUykE359YDp1TcmNLaMefGt8gfbL%2fA1bfbZYsyTaCfA%3d%3d
41,DILKAP CENTRE,GORKAP PROPERTIES & INVESTMENTS PVT. LTD,18/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=hSE%2bDhi7JopAoAaHNPToNfldfbL%2fZjIxOtujDHZJPITeA6bJ8fVIlC5s70dbKe%2fR1puchhRaj1xMYLDP3u8E%2fO1LSAW%2bd%2b%2fHYESOk1gq0DkKfpUj6W8fnl5C8lRk2NIptAOkR8n2jDFhTULHBu9nbwB7Qm2CpC%2bXFYmwtZO7Y4DvTWguXRCsLw%3d%3d
42,DEVRATNA,K PATEL AND CO PVT LTD,25/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=yTOP4OTXxYe3p0AxEI2jzZfkqxxGikzhH%2bJknZI6wtBXofLf4MdrMwXqP2cbXRhaPp6tI5jXiuW9EGv9D704WPVqnWbnyeFhllorvhuW9gUx37tj2cHhNRsgMX%2fKC7gF%2fubnbjOJnKbMhYD7Fq3W9z8qVatK7IYG%2fGzwo3Vy578HzkBlvL7Zyg%3d%3d
43,MAKSKAP CENTRE,DILIP ESTATE & TOWN PLANNERS PVT LTD,17/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=j0ZcbhGzOi7llYpsFzSXfhLdoj18tp%2fP5q83%2fGgVnspqAzQw1S%2b2lWV%2bG3IWeYEtzBlZH95WE119fK8SHqIHLA4zGeo%2fkFE1vzlTjMFwK5w3mraJ3mQmAJl2%2b0xe%2bnJjBs%2biewHznlyfO5uIcbQQb4D3oxdVTQzu%2fir2DQm9l5SNmpzio23zHA%3d%3d
44,SHREEPATI CORONET,SHREEPATI BUILD INFRA INVESTMENT LIMITED,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=4r46zR5lVMotTsxi1GJN7qiWYkYW7r4GhnJac0jP94yWODR0fFcPrexTdgCACG%2fwwNk%2fK13O6KcpxaNdxhAqoMsUIyPJ%2fQfx8L7uSQiz%2b7aqIheYHQMcnvbMdmMMP%2fjmQfSEoFckbJpkiyKqAc6EA9S0fe6nqcpOXY5ly1oLVk%2bR%2b4EqQUaVUQ%3d%3d
45,Sam Bhoomi Sky Villas,LIFE Spaces Realty Private Limited,15/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=EYIf7IYkHH1OGBZaPeeYDDFZrM39U6NSVUQP%2bfLHvkEPJZFVoc1cJ0pC8R%2bP4Fx6F1%2bjg5dXQX4ip7b8RSNeAzjxceq%2bKxPjXzQp4rZyYAGLF5M1yKzTT5ciPBRxKZQFearAVwzvkh3EM3UKrnLPYHKtscy5EOo4%2bgc9GGNSKa6hXa5Erw4TJQ%3d%3d
46,Vishnuchandra Sky,Pragatej Builders And Developers Pvt Ltds,10/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=hcFF4lN1UUZFe2UcQgbaiGfY%2f4YKnAnHmjQA5lxZgHSaBhGxu4o03CawakNGAdqMc7OAf50wbaqysRRK2aA%2f71Ax0IWo%2b7Pp3V%2f1EnekBCLhJc6ihhS%2bcq0TRxQuGHGO%2budvCgGlcM5JUawSWegjmHLtpDZZmlbl6JdrnrJ3JIH1Vp9KGxB4Qw%3d%3d
47,RUNWAL RESERVE,RUNWAL DEVELOPERS PVT LTD,24/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=X1kg3oi%2b5xC2rdZ8lKQ5wLDf9fnOFJ9HDqBN7jzgybWRjyXleBstMoJKSsflILFvEOaGBZ7MvpYY0%2bDXyYa848sKEZzyvajG6W7PE24Q3OOY9uLAi2svYEU9rq5AIoWuWbWMYdyRGaX12u%2fE2X1hzyCbiuNmDNd5aCTnbikXELzS0m6Vq1qZ7Q%3d%3d
48,VIJAYA BHUVAN,PUSHPA M PAREKH,04/01/2019,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=XJm5maOcNvT2nCRhfhCr%2fEH3lVQD4Zi1JijTiBpCuBKIDNf9bTp3RYOpdw3gkLAbRH8p1YGP44of1V%2bbSyW5AAEmONe6gzyc7lZkugK9wtlF6sDJk4359MbhaxC06ZV%2bqNx8p43pgiHKrEo51KSuNphQdTmff%2fw7%2fwD7Z3rGJfpnyatoiHtm%2fw%3d%3d
49,Elanza,A R Constructions,23/12/2019,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=PvC8xx%2bUHoA8EUPaYWjZXI3%2b5w%2f5kC1bjerjTtEacEzFTzQJSOY7xCOE%2bYw4yLfT9PL6VV0OC7EvKf%2bTP3qNN1O1Jqn1oqhUqgtFb7oHPMcroVo0aPhYgA9Rorgfpi2%2b64AXBxJ9gne4aC2ud93VVpyy%2blP0hVWxjseWi02xCTPyaEaKKo9Hng%3d%3d
50,Aikya Signature,AIKYA REALTY PVT LTD,21/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=gSZfEyeiaNI7IiXeFiC691X%2bFRIOG0R3gf4KaTYXqlnBQq7r2C8zmM1WOTXDrn7lp7C8lj9cyeCpaZOTlOf53fWFHGv3%2bGIK3poErKsjU36ymtktKn2CN12MHqDcHJ%2fz1%2bDugdBMhYRSkDWupt1j27PStUE6yhInzeQtgzUIB%2biO68Fq5zET7w%3d%3d
51,Unity Tower Wing B,Mumbai Shelter Housing Development,17/04/2019,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=PMqJVXeEqpxAdeq8Po0g2wLuwiV4GGjuAb0oTjk6Ay%2ffPnRTSnPu1QEUexzs6%2bj%2b51CTQl1Cuk4J7LnSzU77eTVLOkRZmr7FfnWu4PJdzMugRmf2q9JeHEnhELRCpyvN9qqAz3fQ63QP2o7VKbF8%2ftmtCHqbBXFPwVTv4vlC6hxsQ00rSqExqg%3d%3d
52,Tridhaatu Athena,Tridhaatu Madhu Villa Developers LLP,11/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=%2buTnv5f77GriIJC7C8nSOl79hYWNYAivA%2fFM9qsywlb%2bT4U1hzlG4pprg0vnXOxOljkwGdcXUtqoPCI7tZdVmGP3JQBQZ0NQk%2bXt%2bOqoT4D2ViH%2bSA2morpJAC2udLqD%2bLkmdytlRbpB%2fX5a89wQzHgRdUISY2bbBebHwTDpyHZ%2bDSpi3odjnw%3d%3d
53,Jawale Bhuvan,Prathamesh Developers & Project Consultants,27/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=X7bEI9GXWL6TRnRvPXt8B4TFd9bMVpTmtgwfSp6J5GpN%2fA22FaU0h%2bcM1OVcN2mTquy0AobtCRPSlvUFZq4un1LlwRLLjsdH4qt6Ys6Xv3z25JnWnCyonHbPIDDj8ioQh0AB%2b9Rjrbn0ymBHBvQujmAXIyCMmQW7102S%2bdJbcJJpV%2bAe%2bK2Tew%3d%3d
